"female","LHML","LHEB","LHHD","LHMLD","LHAPD","RHML","RHEB","RHHD","RHMLD","RHAPD","LRML","LRMLD","LRAPD","RRML","RRMLD","RRAPD","LFML","LFBL","LFEB","LFAB","LFHD","LFMLD","LFAPD","RFML","RFBL","RFEB","RFAB","RFHD","RFMLD","RFAPD","LTML","LTPB","LTMLD","LTAPD","RTML","RTPB","RTMLD","RTAPD","BIB","LIBL","RIBL","LAcH","RAcH"
1,277.2,51.34,42.97,24.54,18.29,319.11,57.37,46,20.4,19.13,248.92,11.3,12.34,217.5,12.68,10.26,396,392,76,63.82,44.02,26.76,25.28,389,385,77,64.44,44.09,25.84,26.21,316,65,19.69,22.55,314,66,21.39,22.43,283,170,167,49.81,49.44
0,294.5,58,44.65,19.53,20.86,298,59,45.47,20.06,20.68,228,14.25,10.8,224,14.49,10.89,403,400,80.5,71.84,45.3,24.28,26.06,407,403,80,70.3,45.88,24.31,25.77,318,74.5,20.85,25.94,323,70,21.64,25.39,269,144.14,162.4,50.98,52.17
1,308.3,61.11,44.16,18.91,20.99,286,55,41.61,21.53,20.14,209,13.94,8.27,212,13.21,9.49,391,389.5,69,58.95,39.91,24.89,26.43,395.5,393,69,59.14,42.75,23.79,25.84,311,64,20.12,22.82,310,63,20.59,22.02,277,148,150,47.82,48.74
0,292.5,54,38.21,17.73,20.32,298,56,40.79,19.88,21.18,216,14.55,9.22,221,14.35,9.63,396,393,75.5,64.77,44.72,28.85,30.74,402,399.5,76,65.85,45.26,26.89,30.96,319,70,22.54,23.61,319,69.5,22.24,23.7,264,161,161,50.37,51.04
1,281,54,37.58,16.5,17.36,280.5,56,38.06,16.42,17.94,201,11.74,8.96,229.01,16.78,12.73,374,370.5,67,56.37,38.91,24.13,24.08,370,366.5,67,56.83,39.35,23.93,23.97,293,60,18.54,21.41,291,61,18.01,20.26,265,154,151,43.74,44.62
1,290,51,38.11,19.59,23.95,297,49,38.54,20.12,23.39,204,15.83,10.47,203.5,16.92,10.18,386,382,71.5,61.16,40.72,26.49,27.04,386,381.5,69.5,60.16,40.23,27.03,27.5,315,61,19.83,22.86,314.5,66,20.7,23.78,263,153,151,45.49,45.56
0,287,57,45.04,20,22.05,292,57,45.09,20.19,21.4,218.03,10.49,9.91,217,15.95,10.92,421,413.5,82,71.61,47.37,26.43,30.05,415,410,80,71.14,47.08,26.79,30.52,335,73,21.12,29.59,335,73,21.6,28.76,297.5,160,163,49.04,53.35
0,272.5,64.1,38.15,17.87,17.95,274,52.5,38.28,18.17,18.74,196,11.34,9.5,245.33,13.35,11.78,390,385.5,73,64.97,45.12,24.69,28.5,389,386,73,66.83,45.09,24.72,27.78,299,67,21.73,24.65,297,69.5,23.33,23.54,264.5,147.35,142.89,50.27,50.33
0,274,54,43.08,20.5,20.39,282,57,42.78,21.45,20.59,199,14.62,10.36,202,16.3,11.68,399,397,78.5,67.41,46.41,28.05,31.31,399,394,79.5,68.25,46.3,28.7,31.22,329.5,69,22.97,26.51,332,72,25.53,24.69,294.5,171,173,52.75,53.3
0,298,60.5,43.66,24.85,23.17,293,62,43.17,25.29,23.63,232,15.42,12.22,233,17.35,12.61,433.5,431,78.5,68.79,47.13,27.86,33.3,428,425,77,67.45,47,26.81,32.55,344,73,23.12,28.71,345,71,25.22,26.67,288,167,168,53.02,52.66
1,268.5,53,41.16,22.72,21.81,281.5,54,41.65,22.42,22.32,196,15.16,11.16,197,16.14,10.89,369.5,368,72.5,62.85,41.28,26.74,29.83,374.5,370,73,63.34,41.54,26.11,29.7,299.5,62,21.42,25.47,302,68,22.12,26.39,252,135,138,46.31,45.86
0,271.5,56,41.34,21.72,19.64,282.5,58,42.37,21.73,20.39,212.31,12.17,12.1,204,14.73,10.61,392,389.5,75,64.9,43.21,24.23,28.81,395.5,390.5,75.5,66.34,42.89,24.44,30.79,339,69.5,22.13,25.48,337,69,20.78,23.52,271,150.93,156,49.81,51.14
0,316,65.5,47.36,23.27,21.93,325,63.5,48.82,23.65,23.04,239,14.63,11.29,236.5,15.47,11.47,443.5,441,85.5,76.41,48.96,31.71,31.82,445,443,86,75.78,48.97,30.52,32.01,354,79,24.06,30.89,359.5,76,25.03,29.38,293,161,133.31,54.89,55.04
1,249.5,49,44.56,17.82,18.17,254.5,49,47.27,17.72,17.3,194.5,10.58,9.31,199.5,10.98,8.27,365,361,67,57.98,40.71,23.66,26.82,369.5,362.5,68.5,59.93,40.89,23.7,25.98,298,64,20.15,24.87,291.5,62,20.72,22.35,242,170.55,160.21,47.02,47.88
1,266,47.5,37.74,18.64,18.11,274,48.5,36.57,18.01,17.25,202,12.39,9.04,203,13.32,9.22,375.5,373.5,67,59.47,40.84,23.79,28.11,373,371,69,60.5,41.12,23.98,28.28,301,64,18.73,22.22,306,62.5,21.07,21.9,249,142,141,46.09,46.39
1,275,49,40.3,15.61,16.93,282.5,48,40.19,16.48,17.53,197,11.02,9.48,196,11.78,9.88,385,379,68,57.1,42.18,22.52,26.01,378,372,69,57.01,42.2,21.32,25.96,301,62,18.09,23.15,298,61,18.35,21.25,260,158.04,141.69,46.17,47.45
0,292,59.5,42.92,22.08,21.62,299.5,56,41.85,23.15,21.93,218,15.49,10.97,213.5,15.01,10.86,414,410,77,67.96,43.46,27.74,30.15,418,410,76,66.6,42.8,26.24,29.74,345.5,74,20.67,30.29,347,72,22.55,27.14,268.5,149,146,48.62,47.24
0,306,56,42.79,20.39,20.13,309.5,53,41.9,18.98,19.28,233,13.16,10.9,223.86,13.36,10.21,430,425,75.5,66.01,45.71,27.28,31.02,433.5,428,78.5,69.22,44.87,25.65,31.8,354,69,20.52,28.64,355,75,20,26.26,276,159,160,50.28,49.86
0,302,53.5,44.55,22.33,21.06,344.69,59.48,36.03,16.58,18.65,233,13.63,12.05,201.26,15.04,10.08,429,426,79.5,69.78,47.3,28.78,33.61,433,430,83,72.31,48.55,28.12,33.87,346,66.44,23.28,31.87,348.5,79,24.61,30.67,267,164,166,51.91,52.67
0,290.5,58.75,40.68,20.07,19.3,297,55.5,39.48,19.31,20.89,213.5,14.12,10.18,266.31,12.1,12.72,409.5,406,76,66.96,43.16,25.96,29.87,405,402,74,64.85,44.19,26.77,29.43,332,68,19.92,27.17,333,70,21.2,26.14,262.5,149.63,138.73,49.74,49.62
0,304.5,52,44.62,20.41,19.14,309,52.5,42.84,20.81,18.96,230,14.13,10.28,230.5,15.58,11.07,428,426,79,68.85,45.63,26.58,30.75,446.98,421.95,77.47,59.66,44.67,25.05,28.21,355,75,24.13,28.58,363.02,69.01,15.95,23.9,260,149.95,148,52.16,52.94
0,310,58,46.33,24.82,22.48,316,58.5,43.59,22.72,22.33,221.5,16.54,12.79,221,15.66,11.98,445,437.5,82,72.38,48.39,26.29,29.42,440.5,437,82,73.63,48.17,27.02,29.38,337,74.5,22.13,30.43,344,74,20.63,29.31,270.5,149.89,156,53.88,54.39
1,278,54,39.2,20.42,19.93,284,55,39.98,20.2,19.98,205,14.31,10.01,208,13.29,9.81,398,394.5,73,63.53,42.19,25.29,30.33,394,392,69,60.12,41.79,24.17,28.23,317,66.5,19.79,24.18,320,65,19.42,23.35,252.5,146,145,47.15,47.36
1,269,55.18,38.88,18.56,19.2,278,54,39.96,17.86,19.14,202.5,10.68,8.12,207,11.78,8.85,386,385,69,60.35,42.25,23.52,26.04,388.5,388,72.5,61.66,41.36,23.37,26.15,311,65,17.72,23.27,306,66,19.21,23.18,265,145,149,47.47,46.58
0,281,52,40.88,17.35,19.16,290,54,40.29,18.09,19.11,214,12.31,9.57,216,14.04,10.35,402,399,73,63.83,41.75,25.13,30.42,399.5,396,71,62.04,41.5,25.08,29.24,323,67,22.21,25.08,326,68.5,20.29,25.84,273,154,153,46.84,46.42
0,304,63,48.76,22.46,21.97,308,63,48.36,23.28,23.3,236,13.75,11.23,235,14.18,11.5,438,436,83.5,72.15,49.48,27.73,31.69,434,432,84,74.58,50.66,26.76,31.39,350,78,22.99,27.91,351,78,21.87,25.26,273,159,162,54.87,55.96
0,281,59,40.92,19.81,18.55,288.5,59,41.1,19.77,19.6,219,13.91,9.86,220.5,13.24,10.38,418.5,411,74,63.25,43.99,25.71,30.77,423,415.5,73.5,63.96,44.31,24.87,29.34,339,67,24.34,28.16,339,70,24.29,27.13,281,152,152,49.62,50.04
0,309,59.5,46.18,22.37,23.06,315,58,45.65,22.68,22.95,239.5,15.1,12.17,240.5,16.9,12.2,445,443.5,81.5,72.61,47.03,28.32,36.22,446,444,81,71.82,47.55,28.42,35.42,362,75,23.69,30.22,363,77,23.64,28.62,281.5,159,160,51.45,52.22
0,279,54.5,38.68,20.91,20.5,285,55.5,39.15,21.21,20.66,205,14.65,10.11,205,13.93,10.67,406,401,73,62.05,41.8,23.35,27.8,406.5,400,70,59.88,43.09,23.29,27.97,333,67,20.95,25.63,330,65,21.66,23.28,272.5,136.33,149,49.57,49.06
0,292.5,59.5,42.83,21.44,23.01,294,61,42.99,20.86,23.86,203.55,13.94,11.37,220.5,15.51,11.17,415,413,80.5,69.06,45.9,26.04,31.07,418,411,78.5,70.76,47.06,26.25,30.96,347,71.5,21.25,27.86,345,69,21.75,28.37,253,157,156,51.39,51.52
1,266.5,45,33.43,14.96,17.69,273,44,34.2,15.23,18.06,190,10.99,8.62,192,12.12,8.84,380,375,67,58.87,39.26,22.05,26.91,378,373,69,59.88,40.66,21.29,27.01,294,61,18.58,22.08,294,60.5,18.98,21.75,247,137,140,44.73,45.15
0,288.5,54,42.73,19.16,20.14,297.5,56.5,44.06,19.41,21.16,224,13.99,10.27,229,15.44,10.23,430,414.39,64.67,63.98,45.78,26.98,31.09,438,435,78,68.39,45.39,27.68,31.73,360,71,21.41,28.91,361,72,23.2,27.21,289.5,166,164,49.53,50.08
0,296,63,45.95,23.89,21.93,300.5,62,45.48,24.6,23.53,223.5,14.93,10.86,225,15.21,11.09,423,421,84,73.43,48.87,29.47,32.36,423,421,84,72.39,49.73,29.2,31.9,341,78,22.68,28.43,340,77,23.23,27.56,275.5,157,157,53.98,55.08
0,318,59,46.5,22.05,21.62,327,60,48.91,22.16,23.45,231,16.62,11.76,235,15.83,11.71,447,442,87,76.4,49.48,27.72,31.97,448,442,86,76.98,48.98,28.91,34.97,378,78,23.24,29.12,381.5,80.5,24.44,27.59,294,167,170,53.99,53.98
1,275.5,50,37.18,17.85,18.63,282,50,38.22,18.87,17.73,203,12.58,9.13,201,13.07,9.16,392,388,68,59.11,40.71,24.19,25.52,396,391.5,68,59.75,40.56,23.89,27.13,314.5,66,18.05,27.13,311.5,65,19.68,24.46,257.5,148,147,45.49,45.61
1,288,57,41.85,18.23,18.92,295.5,58,41.17,19.26,19.03,212.5,13.18,10.69,215.5,13.79,10.05,428.81,404.23,81.94,68.93,44.51,27.22,29.36,387.12,402.12,63.15,65.92,43.42,26.64,29.5,310.27,65.82,23.49,29.98,333.73,74.53,18.43,25.66,281,147,148,50.36,49.78
1,283,54.5,37.09,16.73,18.83,292.5,55.5,39.24,17.4,18.77,209,12.89,9.5,213,12.77,9.9,406,403,69,59.61,42.72,24.44,27.89,408,402,70,60.65,43.45,24.52,27.56,336,65,20.62,24.79,337,65,20.78,23.87,260,153,152,47.25,47.96
0,284,57,41.21,22.1,23.56,292,58.5,42.69,23.72,24.68,230.5,14.84,10.29,226,15.66,10.22,444,441,83.07,65.42,43.3,28.41,32.97,446,442,76,66.27,43.82,26.97,32.49,360,68.5,21.39,26.51,357,70,23.72,27.07,274.5,163,164,46.45,47.51
1,285,54,40.04,19.09,19.95,292,53,40.05,19.79,20.85,222.5,14.69,9.94,220,14.69,10.05,425,420,76,66.82,44.51,26.39,31.19,425,419,76,66.19,45.06,26.55,30.65,342,69,20.21,26.85,342,72,20.91,25.48,283,156,155,50.91,50.34
1,289,54,40.25,19.03,19.2,293.5,54,40.99,19.67,20.2,208.67,12.6,11.65,220,13.48,9.99,417,415,74,64.27,43.62,26.93,28.95,414,411.5,75.5,64.61,43.94,25.41,29.28,335,70,20.57,25.5,368.83,61.88,24.36,29.44,268,144,143,49.88,50.51
0,303,58,42.75,21.51,22.64,308,58,43.81,21.48,23.24,231,14.85,11.3,236,13.97,10.65,441.5,440,81,70.56,46.68,28.09,29.43,440,438,81,70.69,46.84,26.94,29.88,368,75,21.32,27.46,365,74,22.68,26.17,270.5,156,158,51.35,52.05
1,264.5,51,38.01,17.82,18.86,264,53,37.32,17.9,19.5,194,11.01,8.71,194,12.71,9.27,374.5,373,69,60.09,42.9,22.66,24.87,379,375,75.29,72.07,42.21,23.7,26.25,302,63,20.44,23.38,306,69.95,20.43,22.51,243,147,147,49.48,48.8
0,340,63,52,24.71,25.37,344,63,50.35,24.72,25.06,253,15.75,11.88,247,16.98,12.63,494,491.5,88,77.45,55.38,27.85,35.04,494,492,88,77.1,55.83,29.16,35.29,403,77,24.05,28.59,397,78,25.21,27.72,279,168,169.25,58.74,60.49
1,274.5,54,41.86,18.93,19.28,280.5,52,40.74,19.11,20.62,198,14.26,10.56,200,15.26,10.42,391,390,74,64.82,42.21,23.08,28.53,390,386,73.5,63.57,42.48,23.05,27.58,327,76.13,19.38,23.75,325,68.5,19.79,25.63,274,148,147,48.16,47.39
1,297,54,40.73,17.37,18.66,306,54,41.15,17.71,18.91,219.5,11.76,8.49,223,12.74,9.52,427,423,71.5,60.11,42.93,23.12,29.4,424,423,71,60.56,44.12,24.44,29.55,341,65,19.47,24.17,340.5,65,18.93,24.82,264.5,151,148,47.53,48.86
1,282,55,39.88,19.49,18.4,287,54,40.89,20.08,18.2,196,14.57,10.16,195.5,14.68,10.52,395,390,71,61.77,42.92,26.47,29.04,389,387,72.5,61.49,43.02,27.26,29.01,320.5,67,19.47,26.39,319,67,20.39,25.51,265,150,149,48.17,47.58
1,278,51,39.1,18.16,18.04,284,54,39.97,19.4,18.44,195.5,13.72,9.45,227.81,14.3,9.45,422.8,458.01,74.22,68.52,35.01,26.72,27.7,382,378,68,58.4,41.41,22.44,26.95,338.67,62.27,17.4,31.1,299,62,19.24,23.09,268,141,144,46.56,46.13
1,285,55,42.27,19.6,20.18,287.5,55.5,43.19,19.42,20.93,197,13.86,10.99,198.5,14.07,10.52,403,401,75,65.26,42.66,25.77,29.2,407,403,74,63.66,42.57,26.23,30.51,337,68,19.71,26.54,337.5,71,19.44,25.25,283,154,142.97,48.34,47.53
1,277,52,41.22,16.43,20.85,283,52,40.86,16.88,20.75,193.5,11.63,10.06,202.5,12.33,10.31,388,386,74,65.24,42.39,24.42,28.92,386,383.5,72.5,62.66,42.12,23.51,29.03,321,68,20.93,23.2,321,66,21.97,23.38,268,151,149,46.79,47.23
1,276,53,40.58,18.66,17.34,279,55,40.46,18.58,18.72,222.5,12.72,9.4,223,12.94,9.52,400.5,398.5,68,59.58,43.38,24.05,28,401,399,68,59.66,43.66,23.76,26.55,328,66.5,18.43,23.3,329,66.5,19.98,24.28,262,152,152,47.6,48.67
1,272.5,50,35.97,16.79,17.33,283,49,36.65,16.53,19.99,199,12.86,8.96,202,12.93,9.19,387,383.5,69,59.99,39.68,23.03,24.84,391,387,69,60.4,38.67,22.16,25.44,311,63,18.31,23.49,314.5,62.5,18.66,23.84,258,147,146,45.1,45.42
1,273,53.5,39.81,20.03,20.48,281,55,40.34,20.04,20.88,189.5,13.89,10.64,194,14.48,10.13,385,384,71,62.55,42.23,25.66,28.08,386.5,383,71,60.92,42.09,25.86,28.61,313,66,18.82,25.5,359.51,82.09,22.74,22.63,260,149,148,47.33,47.43
1,274.5,51,39.48,20.41,19.76,284,53,41.9,21.04,20.34,196,12.83,9.77,202,12.38,9.65,396,393,76.06,75.33,44.22,24.83,28.42,397.5,394,76,67.13,44.91,24.34,28.99,341.43,77.39,22.38,27.39,306,66,21.46,24,282,155,156,50.19,50.69
1,279,56,40.08,17.5,17.97,284,54,40.41,17.3,19.62,199,12.19,9.71,200,13.05,9.55,387,386,78.39,56.41,41.74,25.21,26.93,391,386,71.87,59.87,41.49,22.98,25.84,326,68.46,21.21,23.07,317,57.46,19.42,24.57,261,147,145,47.08,46.68
1,283,52,40.39,21.15,21.38,290,52,40.18,21.63,20.41,210.5,14.23,10.1,212,14.87,10.61,403,399,72,62.62,42.05,26.01,29.48,404,399,72,62.27,41.15,24.46,29.06,336,70,20.68,23.3,334,67,20.73,22.34,276,151,150,48.4,49.2
1,293,54,40.72,20.34,18.99,299,53,41.33,19.82,20.05,239.07,16.86,10.32,210,16.17,12,403.5,401,72,61.82,42.36,24.51,26.96,407,404,73,62.98,42.44,24.11,27.82,299.03,67.57,23.32,30.53,311,66,23.22,24.62,250.46,144,145,49.52,48.72
0,297,61.5,45.39,22.46,24.1,302,61,45.06,21.69,23.16,278.07,14.9,10.66,250.37,17.4,12.1,407,404,81,70.25,47.2,27.45,27.81,409,404,81,70.85,47.1,27.02,27.48,324,75,21.03,31.29,326,74,21.83,28.96,268.5,160,155,52.23,52.43
1,304.48,58.77,43.64,20.16,21.86,273.5,52,37.66,17.58,17.55,206,14.27,9.02,202,15.56,9.96,378,375,73,63.21,40.51,24.06,25.22,380,376.5,71,61.89,39.51,24.22,25.5,297.56,68.85,20.1,28.69,302,62,18.86,24.73,261.76,149.46,169.54,45.18,44.33
0,279,52,38.63,16.62,16.84,322.3,54.5,39.62,15.24,21.68,274.31,14.87,10.61,249.02,17.4,11.25,443.94,425.08,71.54,69.05,36.65,24.06,29.32,453.81,448.75,72.43,71.83,50.31,27.37,30.2,354.5,69,19.75,25.21,354,66,19.96,23.08,222,133,133,44.08,44.15
1,277,51,36.51,17.01,18.07,278,50,36.46,18.64,18.34,221,10.3,10.02,222,11.31,9.6,382,380,67,57.27,37.16,24.53,24.12,381.5,379,66,56.97,36.42,27.7,26.22,322.5,62,21.42,23.5,320.5,60,22.28,23.72,213.5,127,124,41.95,41.61
0,276,52.5,40.42,16.8,16.23,283,54,40.5,16.75,17.43,228,11.43,10.22,230,10.43,9.1,399,394,70,59.55,40,19.91,25.3,398,392,69.5,61.15,40.54,20.53,25.49,327,63.5,19.13,24.53,328,64,18.8,22.5,220,130,130,43.79,45.16
0,291,51,36.76,17.89,15.69,300.5,52,37.59,18.16,15.19,223,12.83,9.41,224,11.56,9.45,423,418,69.5,59.45,39.7,22.85,26.77,425,419,69.5,60.05,39.05,22.3,26.2,342,64,19.87,24.23,343,65,19.89,22.99,258.5,144,145,44.7,44.63
0,294,51,38.25,18.94,17.36,297,53,39.16,18.89,18.41,230.5,11.29,10.11,231,11.05,9.83,402,399,71,60.95,42.37,22.58,24.85,398.5,394.5,72,61.41,41.99,22.24,24.39,339,66,21.66,25.9,340,67,21.84,24.53,251.5,141,145,46.77,46.1
1,305.75,54.46,43.23,18.42,23.03,275.5,50,36.88,18.08,17.66,220.86,13.19,9.75,233.13,17.97,12.48,392,385,69,59.34,40.31,21.99,23.7,393,386,69,59.19,39.76,22.91,24.56,320,63,20.97,25.48,317.5,63,21.02,23.17,254.5,144,142,45.73,46.15
0,303.5,60,45.94,19.62,19.11,306.5,60.5,46.28,21.15,20.56,245.5,13,10.72,248,13.39,11.61,418.5,417,82,71.4,44.1,24.16,27.79,416,413.5,82,71.28,44.36,23.43,26.65,359,73,21.65,27.86,355,73,24.43,25.22,270,153,155,49.49,49.56
0,292.5,59,43.17,19.34,17.28,296.5,60,43.71,18.43,18.69,226,11.34,10.44,229,11.83,10.62,419,412,79.5,68.26,44.13,22.88,24.93,419,410,80,69.15,44.41,24.24,25.18,342,72,22.26,29.69,341,72,21.73,27,256.5,156,154,49.93,50.52
0,329.54,54.74,34.53,20.93,17.95,306,63,45.63,20.79,20.45,240.26,15.17,12.56,242,12.74,11.24,420,416,81,69.66,43.56,25.98,28.73,419,412,79,68.66,43.46,24.06,27.96,365,68.96,23.66,30.16,362,71,23.4,27.93,260.5,154,153,49.31,48.4
